metric,method,count,mean,std,min,25%,50%,75%,max,sum
has_err_instruction,formatog_d4_p1,333.0,0.1831831831831832,0.3873987462963781,0.0,0.0,0.0,0.0,1.0,61.0
has_err_instruction,formatog_d4_p2,333.0,0.2132132132132132,0.41019339349366535,0.0,0.0,0.0,0.0,1.0,71.0
has_err_instruction,formatog_d4_p3,333.0,0.29429429429429427,0.4564106926430549,0.0,0.0,0.0,1.0,1.0,98.0
has_err_instruction,formatog_d4_p4,333.0,0.24924924924924924,0.43322937075836365,0.0,0.0,0.0,0.0,1.0,83.0
has_err_format,formatog_d1_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d1_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d1_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d1_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d2_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d2_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d2_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d2_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d3_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d4_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d4_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d4_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_format,formatog_d4_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_graph,formatog_d1_p1,333.0,0.018018018018018018,0.13321659928468216,0.0,0.0,0.0,0.0,1.0,6.0
has_err_graph,formatog_d1_p2,333.0,0.02702702702702703,0.16240619866164338,0.0,0.0,0.0,0.0,1.0,9.0
has_err_graph,formatog_d1_p3,333.0,0.021021021021021023,0.14367018845523108,0.0,0.0,0.0,0.0,1.0,7.0
has_err_graph,formatog_d1_p4,333.0,0.02702702702702703,0.16240619866164338,0.0,0.0,0.0,0.0,1.0,9.0
has_err_graph,formatog_d2_p1,333.0,0.018018018018018018,0.13321659928468216,0.0,0.0,0.0,0.0,1.0,6.0
has_err_graph,formatog_d2_p2,333.0,0.018018018018018018,0.13321659928468216,0.0,0.0,0.0,0.0,1.0,6.0
has_err_graph,formatog_d2_p3,333.0,0.02702702702702703,0.16240619866164338,0.0,0.0,0.0,0.0,1.0,9.0
has_err_graph,formatog_d2_p4,333.0,0.02702702702702703,0.16240619866164338,0.0,0.0,0.0,0.0,1.0,9.0
has_err_graph,formatog_d3_p1,333.0,0.015015015015015015,0.12179536616658856,0.0,0.0,0.0,0.0,1.0,5.0
has_err_graph,formatog_d3_p2,333.0,0.015015015015015015,0.12179536616658856,0.0,0.0,0.0,0.0,1.0,5.0
has_err_graph,formatog_d3_p3,333.0,0.03003003003003003,0.17092677657670466,0.0,0.0,0.0,0.0,1.0,10.0
has_err_graph,formatog_d3_p4,333.0,0.02702702702702703,0.16240619866164338,0.0,0.0,0.0,0.0,1.0,9.0
has_err_graph,formatog_d4_p1,333.0,0.021021021021021023,0.14367018845523108,0.0,0.0,0.0,0.0,1.0,7.0
has_err_graph,formatog_d4_p2,333.0,0.024024024024024024,0.15335414372298997,0.0,0.0,0.0,0.0,1.0,8.0
has_err_graph,formatog_d4_p3,333.0,0.021021021021021023,0.14367018845523108,0.0,0.0,0.0,0.0,1.0,7.0
has_err_graph,formatog_d4_p4,333.0,0.03303303303303303,0.17899179355083317,0.0,0.0,0.0,0.0,1.0,11.0
has_err_other,formatog_d1_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d1_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d1_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d1_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_other,formatog_d2_p1,333.0,0.0990990990990991,0.29924468032699464,0.0,0.0,0.0,0.0,1.0,33.0
has_err_other,formatog_d2_p2,333.0,0.07507507507507508,0.26390900176808346,0.0,0.0,0.0,0.0,1.0,25.0
has_err_other,formatog_d2_p3,333.0,0.05105105105105105,0.22043311782518732,0.0,0.0,0.0,0.0,1.0,17.0
has_err_other,formatog_d2_p4,333.0,0.06306306306306306,0.24344215608737305,0.0,0.0,0.0,0.0,1.0,21.0
has_err_other,formatog_d3_p1,333.0,0.15615615615615616,0.36354960169309003,0.0,0.0,0.0,0.0,1.0,52.0
has_err_other,formatog_d3_p2,333.0,0.09309309309309309,0.2910001144480487,0.0,0.0,0.0,0.0,1.0,31.0
has_err_other,formatog_d3_p3,333.0,0.09309309309309309,0.2910001144480487,0.0,0.0,0.0,0.0,1.0,31.0
has_err_other,formatog_d3_p4,333.0,0.0960960960960961,0.2951665086796932,0.0,0.0,0.0,0.0,1.0,32.0
has_err_other,formatog_d4_p1,333.0,0.15015015015015015,0.35775611136408403,0.0,0.0,0.0,0.0,1.0,50.0
has_err_other,formatog_d4_p2,333.0,0.0960960960960961,0.2951665086796932,0.0,0.0,0.0,0.0,1.0,32.0
has_err_other,formatog_d4_p3,333.0,0.08408408408408409,0.27793150346697765,0.0,0.0,0.0,0.0,1.0,28.0
has_err_other,formatog_d4_p4,333.0,0.08408408408408409,0.27793150346697765,0.0,0.0,0.0,0.0,1.0,28.0
has_err_agent,formatog_d1_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d1_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d1_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d1_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d2_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d2_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d2_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d2_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d3_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d4_p1,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d4_p2,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d4_p3,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_err_agent,formatog_d4_p4,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_kg_based_answer,formatog_d1_p1,333.0,0.6966966966966966,0.46037689629876277,0.0,0.0,1.0,1.0,1.0,232.0
is_kg_based_answer,formatog_d1_p2,333.0,0.6996996996996997,0.4590783392802313,0.0,0.0,1.0,1.0,1.0,233.0
is_kg_based_answer,formatog_d1_p3,333.0,0.6036036036036037,0.4898846547165302,0.0,0.0,1.0,1.0,1.0,201.0
is_kg_based_answer,formatog_d1_p4,333.0,0.6396396396396397,0.4808274643488649,0.0,0.0,1.0,1.0,1.0,213.0
is_kg_based_answer,formatog_d2_p1,333.0,0.6726726726726727,0.46994398961735195,0.0,0.0,1.0,1.0,1.0,224.0
is_kg_based_answer,formatog_d2_p2,333.0,0.6936936936936937,0.46165220817790137,0.0,0.0,1.0,1.0,1.0,231.0
is_kg_based_answer,formatog_d2_p3,333.0,0.6456456456456456,0.47903701779322166,0.0,0.0,1.0,1.0,1.0,215.0
is_kg_based_answer,formatog_d2_p4,333.0,0.6456456456456456,0.4790370177932217,0.0,0.0,1.0,1.0,1.0,215.0
is_kg_based_answer,formatog_d3_p1,333.0,0.6216216216216216,0.4857125070770747,0.0,0.0,1.0,1.0,1.0,207.0
is_kg_based_answer,formatog_d3_p2,333.0,0.6786786786786787,0.46768662475181266,0.0,0.0,1.0,1.0,1.0,226.0
is_kg_based_answer,formatog_d3_p3,333.0,0.5945945945945946,0.49170918488555215,0.0,0.0,1.0,1.0,1.0,198.0
is_kg_based_answer,formatog_d3_p4,333.0,0.6336336336336337,0.482536293982069,0.0,0.0,1.0,1.0,1.0,211.0
is_kg_based_answer,formatog_d4_p1,333.0,0.6456456456456456,0.47903701779322166,0.0,0.0,1.0,1.0,1.0,215.0
is_kg_based_answer,formatog_d4_p2,333.0,0.6666666666666666,0.4721139335637747,0.0,0.0,1.0,1.0,1.0,222.0
is_kg_based_answer,formatog_d4_p3,333.0,0.6006006006006006,0.49051202618382705,0.0,0.0,1.0,1.0,1.0,200.0
is_kg_based_answer,formatog_d4_p4,333.0,0.6336336336336337,0.482536293982069,0.0,0.0,1.0,1.0,1.0,211.0
is_kg_and_correct,formatog_d1_p1,333.0,0.21621621621621623,0.4122829199976449,0.0,0.0,0.0,0.0,1.0,72.0
is_kg_and_correct,formatog_d1_p2,333.0,0.21621621621621623,0.4122829199976449,0.0,0.0,0.0,0.0,1.0,72.0
is_kg_and_correct,formatog_d1_p3,333.0,0.18018018018018017,0.3849158458691617,0.0,0.0,0.0,0.0,1.0,60.0
is_kg_and_correct,formatog_d1_p4,333.0,0.21621621621621623,0.4122829199976449,0.0,0.0,0.0,0.0,1.0,72.0
is_kg_and_correct,formatog_d2_p1,333.0,0.2042042042042042,0.4037255498737052,0.0,0.0,0.0,0.0,1.0,68.0
is_kg_and_correct,formatog_d2_p2,333.0,0.24324324324324326,0.42968641303405924,0.0,0.0,0.0,0.0,1.0,81.0
is_kg_and_correct,formatog_d2_p3,333.0,0.21021021021021022,0.40807100317270445,0.0,0.0,0.0,0.0,1.0,70.0
is_kg_and_correct,formatog_d2_p4,333.0,0.2222222222222222,0.416365352899406,0.0,0.0,0.0,0.0,1.0,74.0
